distrito,codigo_seccion,habitantes,todos_espanoles,todos_extranjeros,mixto_espanoles_extranjeros
02. Arganzuela,2050,703.0,528.0,83.0,92.0
02. Arganzuela,2051,778.0,679.0,30.0,69.0
02. Arganzuela,2052,644.0,591.0,19.0,34.0
02. Arganzuela,2053,723.0,639.0,28.0,56.0
02. Arganzuela,2054,523.0,417.0,43.0,63.0
02. Arganzuela,2055,530.0,444.0,31.0,55.0
02. Arganzuela,2056,491.0,410.0,27.0,54.0
02. Arganzuela,2057,620.0,476.0,44.0,100.0
02. Arganzuela,2058,749.0,582.0,69.0,98.0
02. Arganzuela,2059,316.0,270.0,17.0,29.0
02. Arganzuela,2060,588.0,480.0,47.0,61.0
02. Arganzuela,2061,419.0,335.0,41.0,43.0
02. Arganzuela,2062,483.0,370.0,47.0,66.0
02. Arganzuela,2063,827.0,669.0,75.0,83.0
02. Arganzuela,2064,798.0,689.0,45.0,64.0
02. Arganzuela,2065,737.0,593.0,70.0,74.0
02. Arganzuela,2066,1087.0,915.0,69.0,103.0
02. Arganzuela,2067,654.0,510.0,73.0,71.0
02. Arganzuela,2068,545.0,405.0,76.0,64.0
02. Arganzuela,2069,385.0,330.0,24.0,31.0
02. Arganzuela,2070,619.0,538.0,26.0,55.0
02. Arganzuela,2071,647.0,552.0,28.0,67.0
02. Arganzuela,2072,796.0,685.0,45.0,66.0
02. Arganzuela,2073,847.0,705.0,56.0,86.0
02. Arganzuela,2074,828.0,698.0,54.0,76.0
02. Arganzuela,2075,834.0,644.0,70.0,120.0
02. Arganzuela,2077,537.0,427.0,46.0,64.0
02. Arganzuela,2078,402.0,313.0,43.0,46.0
02. Arganzuela,2079,554.0,467.0,33.0,54.0
02. Arganzuela,2080,391.0,325.0,23.0,43.0
02. Arganzuela,2081,530.0,425.0,51.0,54.0
02. Arganzuela,2082,571.0,425.0,72.0,74.0
02. Arganzuela,2083,743.0,613.0,41.0,89.0
02. Arganzuela,2085,477.0,443.0,8.0,26.0
02. Arganzuela,2086,579.0,514.0,24.0,41.0
02. Arganzuela,2087,863.0,814.0,11.0,38.0
02. Arganzuela,2088,309.0,262.0,19.0,28.0
02. Arganzuela,2089,459.0,404.0,17.0,38.0
02. Arganzuela,2090,701.0,649.0,18.0,34.0
02. Arganzuela,2091,493.0,461.0,11.0,21.0
02. Arganzuela,2092,827.0,736.0,21.0,70.0
02. Arganzuela,2093,561.0,531.0,7.0,23.0
02. Arganzuela,2094,622.0,593.0,2.0,27.0
02. Arganzuela,2095,725.0,645.0,26.0,54.0
02. Arganzuela,2096,608.0,576.0,10.0,22.0
02. Arganzuela,2097,428.0,389.0,15.0,24.0
02. Arganzuela,2098,537.0,417.0,48.0,72.0
02. Arganzuela,2099,778.0,633.0,60.0,85.0
02. Arganzuela,2100,685.0,585.0,44.0,56.0
02. Arganzuela,2101,624.0,546.0,33.0,45.0
02. Arganzuela,2102,613.0,570.0,11.0,32.0
02. Arganzuela,2103,1061.0,913.0,61.0,87.0
02. Arganzuela,2104,561.0,506.0,23.0,32.0
02. Arganzuela,2105,676.0,582.0,42.0,52.0
02. Arganzuela,2106,938.0,839.0,40.0,59.0
02. Arganzuela,2107,523.0,461.0,20.0,42.0
02. Arganzuela,2108,426.0,396.0,9.0,21.0
02. Arganzuela,2109,629.0,561.0,27.0,41.0
02. Arganzuela,2110,642.0,592.0,18.0,32.0
02. Arganzuela,2111,580.0,530.0,16.0,34.0
02. Arganzuela,2112,593.0,555.0,7.0,31.0
02. Arganzuela,2113,576.0,501.0,27.0,48.0
02. Arganzuela,2114,551.0,513.0,10.0,28.0
03. Retiro,3001,699.0,658.0,11.0,30.0
03. Retiro,3002,430.0,353.0,31.0,46.0
03. Retiro,3003,391.0,332.0,23.0,36.0
03. Retiro,3004,497.0,405.0,49.0,43.0
03. Retiro,3005,340.0,266.0,37.0,37.0
03. Retiro,3006,914.0,834.0,19.0,61.0
03. Retiro,3007,474.0,358.0,57.0,59.0
03. Retiro,3008,527.0,450.0,34.0,43.0
03. Retiro,3009,455.0,387.0,28.0,40.0
03. Retiro,3010,480.0,432.0,16.0,32.0
03. Retiro,3011,482.0,401.0,35.0,46.0
03. Retiro,3012,453.0,401.0,23.0,29.0
03. Retiro,3013,457.0,410.0,19.0,28.0
03. Retiro,3014,535.0,468.0,25.0,42.0
03. Retiro,3015,457.0,361.0,39.0,57.0
03. Retiro,3016,377.0,317.0,17.0,43.0
03. Retiro,3017,527.0,466.0,19.0,42.0
03. Retiro,3018,898.0,775.0,42.0,81.0
03. Retiro,3019,794.0,729.0,19.0,46.0
03. Retiro,3020,610.0,524.0,38.0,48.0
03. Retiro,3021,872.0,732.0,69.0,71.0
03. Retiro,3022,504.0,387.0,53.0,64.0
03. Retiro,3023,440.0,382.0,25.0,33.0
03. Retiro,3024,535.0,482.0,17.0,36.0
03. Retiro,3025,708.0,614.0,40.0,54.0
03. Retiro,3026,764.0,680.0,30.0,54.0
03. Retiro,3027,543.0,466.0,30.0,47.0
03. Retiro,3028,616.0,521.0,45.0,50.0
03. Retiro,3029,632.0,566.0,30.0,36.0
03. Retiro,3030,285.0,274.0,1.0,10.0
03. Retiro,3031,468.0,419.0,20.0,29.0
03. Retiro,3032,463.0,427.0,11.0,25.0
03. Retiro,3033,605.0,558.0,16.0,31.0
03. Retiro,3034,513.0,471.0,9.0,33.0
03. Retiro,3035,451.0,424.0,6.0,21.0
03. Retiro,3036,320.0,295.0,3.0,22.0
03. Retiro,3037,463.0,441.0,2.0,20.0
03. Retiro,3038,373.0,354.0,5.0,14.0
03. Retiro,3039,293.0,276.0,2.0,15.0
03. Retiro,3040,270.0,257.0,2.0,11.0
03. Retiro,3041,483.0,448.0,13.0,22.0
