distrito,codigo_seccion,habitantes,mujer_sola_16_64,hombre_solo_16_64,mujer_sola_65omas,hombre_solo_65omas,mujer_con_menores,hombre_con_menores,pareja_16_64_sin_menores,pareja_1_65omas_sin_menores,pareja_con_1menor,pareja_con_2menores,pareja_con_3omas_menores,2adultos35omas_1joven_sin_menores,2adultos35omas_1joven_1menor,2adultos35omas_1joven_2omas_menores,3adultos_con_sin_menores,2adultos35omas_2jovenes_sin_menores,2adultos35omas_2jovenes_1menor,2adultos35omas_2jovenes_2omas_menores,4adultos_con_sin_menores,5omas_adultos,hogar_15omas,menores_solos
11. Carabanchel,11070,804.0,77.0,61.0,72.0,22.0,11.0,3.0,96.0,91.0,40.0,22.0,10.0,54.0,21.0,6.0,63.0,34.0,9.0,6.0,41.0,64.0,0.0,1.0
11. Carabanchel,11071,710.0,64.0,67.0,56.0,23.0,21.0,2.0,94.0,100.0,31.0,18.0,9.0,37.0,17.0,7.0,66.0,22.0,6.0,5.0,21.0,43.0,0.0,1.0
11. Carabanchel,11072,597.0,54.0,43.0,66.0,15.0,15.0,1.0,76.0,73.0,36.0,9.0,6.0,43.0,8.0,5.0,45.0,19.0,6.0,3.0,33.0,41.0,0.0,0.0
11. Carabanchel,11073,513.0,28.0,40.0,47.0,19.0,11.0,0.0,51.0,66.0,25.0,15.0,4.0,37.0,14.0,5.0,43.0,17.0,6.0,2.0,36.0,47.0,0.0,0.0
11. Carabanchel,11074,324.0,25.0,27.0,35.0,10.0,8.0,1.0,33.0,35.0,19.0,8.0,2.0,16.0,9.0,1.0,28.0,14.0,2.0,1.0,16.0,34.0,0.0,0.0
11. Carabanchel,11075,328.0,19.0,22.0,56.0,16.0,4.0,0.0,33.0,78.0,19.0,3.0,0.0,12.0,4.0,0.0,33.0,8.0,1.0,0.0,5.0,14.0,1.0,0.0
11. Carabanchel,11078,561.0,36.0,40.0,53.0,16.0,15.0,0.0,57.0,80.0,26.0,21.0,5.0,36.0,13.0,3.0,42.0,20.0,7.0,7.0,34.0,50.0,0.0,0.0
11. Carabanchel,11079,362.0,29.0,24.0,40.0,11.0,7.0,0.0,44.0,42.0,14.0,7.0,2.0,24.0,8.0,5.0,37.0,12.0,3.0,1.0,18.0,34.0,0.0,0.0
11. Carabanchel,11080,680.0,47.0,48.0,68.0,20.0,18.0,3.0,80.0,83.0,43.0,16.0,2.0,46.0,13.0,2.0,55.0,20.0,10.0,3.0,36.0,66.0,1.0,0.0
11. Carabanchel,11081,737.0,67.0,54.0,83.0,21.0,10.0,2.0,101.0,79.0,32.0,21.0,3.0,42.0,11.0,4.0,82.0,24.0,13.0,3.0,36.0,48.0,0.0,1.0
11. Carabanchel,11082,435.0,34.0,24.0,45.0,17.0,8.0,1.0,46.0,50.0,23.0,6.0,2.0,35.0,8.0,10.0,38.0,15.0,4.0,1.0,31.0,37.0,0.0,0.0
11. Carabanchel,11083,364.0,33.0,17.0,42.0,14.0,2.0,2.0,49.0,42.0,11.0,8.0,2.0,18.0,4.0,5.0,39.0,8.0,4.0,1.0,23.0,40.0,0.0,0.0
11. Carabanchel,11085,861.0,64.0,71.0,89.0,29.0,16.0,2.0,97.0,108.0,48.0,25.0,3.0,56.0,10.0,10.0,82.0,25.0,8.0,2.0,48.0,66.0,0.0,2.0
11. Carabanchel,11086,444.0,51.0,30.0,67.0,13.0,4.0,4.0,40.0,50.0,20.0,9.0,2.0,21.0,12.0,2.0,38.0,17.0,3.0,2.0,23.0,36.0,0.0,0.0
11. Carabanchel,11087,579.0,45.0,44.0,55.0,20.0,11.0,2.0,90.0,68.0,29.0,14.0,2.0,37.0,9.0,6.0,45.0,9.0,2.0,4.0,30.0,56.0,0.0,1.0
11. Carabanchel,11088,651.0,50.0,56.0,61.0,20.0,10.0,2.0,98.0,64.0,33.0,23.0,2.0,48.0,11.0,5.0,64.0,26.0,5.0,4.0,24.0,44.0,1.0,0.0
11. Carabanchel,11089,806.0,76.0,64.0,104.0,31.0,8.0,1.0,92.0,107.0,28.0,21.0,4.0,57.0,13.0,2.0,64.0,27.0,11.0,5.0,40.0,50.0,0.0,1.0
11. Carabanchel,11091,558.0,45.0,42.0,62.0,21.0,9.0,2.0,67.0,67.0,25.0,13.0,3.0,25.0,9.0,2.0,67.0,15.0,3.0,1.0,29.0,50.0,1.0,0.0
11. Carabanchel,11092,464.0,35.0,39.0,49.0,11.0,9.0,0.0,70.0,54.0,22.0,15.0,2.0,28.0,10.0,5.0,38.0,15.0,6.0,2.0,18.0,35.0,0.0,1.0
11. Carabanchel,11093,493.0,20.0,21.0,75.0,25.0,2.0,0.0,37.0,120.0,9.0,16.0,3.0,35.0,5.0,3.0,52.0,20.0,7.0,0.0,20.0,22.0,1.0,0.0
11. Carabanchel,11094,528.0,15.0,16.0,61.0,13.0,1.0,1.0,30.0,183.0,7.0,13.0,4.0,38.0,3.0,2.0,69.0,20.0,5.0,0.0,31.0,16.0,0.0,0.0
11. Carabanchel,11095,442.0,20.0,16.0,55.0,15.0,1.0,0.0,35.0,118.0,13.0,15.0,2.0,47.0,3.0,2.0,45.0,24.0,2.0,0.0,13.0,16.0,0.0,0.0
11. Carabanchel,11096,367.0,10.0,15.0,54.0,13.0,4.0,2.0,29.0,116.0,18.0,11.0,1.0,14.0,8.0,0.0,34.0,19.0,0.0,1.0,9.0,9.0,0.0,0.0
